uid_students,students_id,name,phone,email,address,country,uid_schools
50299744-c585-4bc2-be81-081ec73a357d,556469,CAscLjG,564-516-268,mGanUyBeU@example.com,883 QGdONMUUFwxke St,Portual,ENAC
28adb090-a84c-442d-94d3-a0d4e69902c5,761631,BzdSkdV,745-841-9563,UVGfSTzuO@example.com,607 rzgJyzVH Blvd,Egypt,IC
95936231-8fb9-4b5d-84e6-b42b2bbc9558,724221,FsNozS,278-342-7533,yywXtgycax@example.com,901 bIpelQyflKKEU Dr,countries,SB
8c708346-6b2e-4534-ba36-8cf5cab06f4e,300651,aIFGL,420-233-2056,WAglEXbR@gmail.com,162 wgxzhVJNu St,Germany,IC
3c9cbeda-dd80-4de1-8db0-fa7dcfb941af,948927,SAjLvVcD,292-223-4003,YgcxcWnMs@gmail.com,178 LCBaFvVaJJ Rd,Vietnam,SV
5c07ccf8-94c9-4bc7-a977-3e94399ca360,428294,uHDbuX,381-993-6037,sdQbLjXyQrW@gmail.com,814 WWeITRmw Dr,Italy,ENAC
a239fec8-36c2-48db-b4f5-f3bf79d084fc,181208,nGjbSTTYm,545-766-3382,ajaAhTBXb@outlook.com,563 GJFxvmMl Dr,China,ENAC
b28d8cc0-43ba-4100-8b44-599aaf4ba0ac,637997,wbxEjkjj,847-375-8947,RRWLmWyrq@yahoo.com,499 rIGOzKCE Blvd,countries,SB
eb629403-b138-48a3-b411-5accae37df54,624155,ihHqhK,420-449-6966,sPnTFVeqeYA@yahoo.com,202 oEidrTXUYxSheE Dr,countries,SV
58d8d54d-dcc9-4969-81cd-ef6823441952,652678,VzJiIo,908-630-6827,iLXQoqsz@yahoo.com,945 whciQYdPHqYyHQ Dr,France,IC
41d9a874-7899-442e-bc02-235192c629dc,572739,wwqyhENN,628-319-3661,wAoHpjgj@yahoo.com,926 TuxgoNkfho Rd,Tunisia,ENAC
3edeffb9-e40b-435f-8cc2-5cdbffb3fba1,397031,uJVvl,697-632-8154,HWfDqAvC@yahoo.com,293 gzVKOkpIXbxQ Blvd,Australia,ENAC
9667b2c2-f9a4-4a97-9af7-d095dd79f879,955143,JWilFdeP,385-603-587,cVsfuSoaXbx@outlook.com,264 cgixuSHFD Dr,Vietnam,SV
754c90f0-9c3f-4f0d-9f2f-e9b465adc72e,780163,KdHRMLemA,510-806-6767,wsqSahjSLQu@gmail.com,209 BAwMgXnpUYUHqL St,Egypt,IC
28133d5d-e00f-479d-a4ed-f3a81a7e55a7,411213,KjhMrnaQ,690-344-842,mbTCvIJsqMa@outlook.com,765 oxJCtoqAoS Blvd,Belgium,ENAC
817d9d37-656a-42ae-a1ed-2a9e1fa77661,506048,DYmetNLpP,255-223-7005,wQKeENDqAUq@gmail.com,163 OwBwLxLwcls Blvd,Algeria,SV
72609e8e-2154-4030-8159-b761d13f3527,393971,iqtTgml,235-711-107,gtUMmMsJnci@yahoo.com,234 SwwrDNlRVIMoa Blvd,France,SV
3516004c-3d09-4b7a-89a7-1c43816e581d,425716,eXsgs,615-469-1252,RaonqCtjfYY@gmail.com,131 SVYanHKQDXbJS Rd,Algeria,SV
03423210-7da5-4ce4-8cd1-dcbc6595335f,918496,guqRHe,771-806-408,mHfajokxicl@outlook.com,545 jocprHVme Ave,Portual,SB
88b36966-f51a-4dc8-8ed1-b8bf0f7f0457,940469,xPFBX,404-734-1002,HXNpkHoxaGI@gmail.com,239 MuMdeYQDcn St,Australia,ENAC
cf662f50-edef-4bc4-8c71-66f292146a08,439351,dQKPY,863-370-3402,YWgFdXoBON@gmail.com,778 jUnqTItayLHM Dr,Luxembourg,STI
e79d7b70-cfa9-4298-87ba-85b4c6c1d113,360326,mtKpiDc,822-588-6373,bugBOElyL@yahoo.com,808 SCaWFmdbfE Ave,United Kingdom,IC
5ad1b419-eed7-4d57-81df-3d91470f9fd3,414435,WToDvDzPj,847-409-1538,HzwVMczenmh@example.com,135 BhAREdrq Rd,Egypt,ENAC
4a2da292-a5ad-4153-abe7-6fc5dce86b24,899433,LgiJWSE,495-708-1460,seIdIHNb@outlook.com,888 QdTfVpzmbQz Rd,Algeria,STI
4b88cc2e-b7c5-4411-ab9a-37e3198e7818,106207,oSUkf,353-499-7367,YszUibXLt@yahoo.com,642 kYKpPCVgWvcba Ave,countries,SV
cfc0d81f-a399-420b-ae9b-89a1a8a58742,941672,xapVCUUcW,541-776-6443,XELnWRmkRQC@example.com,743 kIyLmmKUdqWlRK Blvd,Nigeria,SB
b56cb1a0-51fe-42d3-8e49-d9f3bd13240d,597592,ukjIRHO,374-728-3046,VMrxGsagWG@gmail.com,655 WDhIAYsjwkPVl St,China,STI
4139d6a5-4c2e-4186-aadb-2c9d4ee6e260,958919,AcfwLe,388-413-3945,LubAjhcqp@yahoo.com,804 evTNsUSLItsik Blvd,Swizterland,STI
633f54e8-d89b-4def-8e0b-f8c19354d84f,921732,SILVST,768-868-2854,OSaCAiecVJQ@example.com,536 zDbuSdeMw Blvd,Italy,ENAC
8766a260-18ad-440d-bd40-3765e44c5f82,593174,juuuu,575-351-7020,yMJSjQlFQaA@yahoo.com,741 efPCEnuor St,Mexico,IC
e49554a1-046f-45f1-81f2-5d7a7dec0313,454595,fkOipl,235-701-5923,pIDACnmIQuB@example.com,983 bckGYVuorc Rd,Holland,STI
2f0016b6-5e55-470e-9387-5a281386f473,686619,AepRMhebl,691-601-3947,WfyujPqe@gmail.com,925 avOxTRmHvFrWJW Blvd,Egypt,IC
4a5f05fd-d54a-4659-9161-974a0c4e3a8c,925171,PaYuBu,460-251-2633,MEfkGnJtX@example.com,601 rIsdNnivT Dr,Germany,SV
bebfc87c-b4aa-47f4-9e46-57ab4f813e43,432923,sAIic,517-451-8715,IpyscxnYzq@outlook.com,734 GBOjdjVLFiywqK Blvd,Luxembourg,IC
24a214b4-69bc-4a92-9e6d-2a71c5dee764,507642,BNinR,304-541-5228,oSYtFNbhG@gmail.com,727 sYpaQNYJCeYK Blvd,France,IC
02c08331-1f14-4ecc-84bd-e887a3e5c716,234012,OoJHPEq,873-929-6083,qGyYhVPFTF@outlook.com,664 nwuUzPRTvC Ave,China,SB
abf5e7a9-3a1a-49e3-92d5-7252d9197704,267069,MivnrK,550-538-5864,hIYjFbBg@example.com,280 iFNwmyMFLnHEo Ave,Mexico,ENAC
c231285c-1573-4859-b2fe-08c7e58fc3c7,141993,iwEXTNa,628-473-9617,HRTLVBlv@gmail.com,643 MTDgwIWLvfm Blvd,Luxembourg,STI
61ab0fab-31e7-4171-ab25-03c0e17d8de0,598464,bxvIkxXe,630-332-5287,QsBANBsf@example.com,518 mlkIjBTgY St,Australia,SV
6491661b-05dd-42bc-a197-816837a3e4f3,791827,DgscC,759-475-9453,MTjOsQrEJkh@gmail.com,621 wwApqsiUI Dr,Luxembourg,ENAC
8e704cbe-a7c7-4d99-82e0-5e2d3e32e457,887754,NlgMWA,388-376-5147,HEuvxKuSEu@example.com,221 kbbkNIsExRHKYj Blvd,Japan,SB
