uid_employees,name,phone,email,address,country
93cf630a-7022-4c6f-841b-192a55aca895,tBhqire,842-444-1324,cmHTLuptGQo@gmail.com,664 SkrPgRwnjQkw St,countries
f01f7e04-5b6e-4cd4-9c5b-254805b5b9db,Gmgrt,892-418-1064,TqczMvHGvTK@gmail.com,509 MzKgOuweBvCGLI Dr,Tunisia
ff84fdf0-a44b-4169-ad03-369c574b921f,TAYsvX,228-385-2290,VfLWfgIq@example.com,223 rayUmzqD Ave,United States
ae2f2bff-aece-4773-a096-a98f2a88aa95,uspcH,515-590-9560,ilUNykaTnR@outlook.com,117 bMjRFvRWSsge Dr,Nigeria
5ac50c60-99f2-4297-9a49-b32c2cbaf408,swoHYtRJ,466-756-8871,HdWEGrVusg@example.com,703 rXArAAhWKxPrSf Ave,Holland
ff6ec572-934e-4333-b6ed-cdf2fa8207dd,rcQUsfm,248-747-2369,ipByqMxx@example.com,358 wlEdxVGwOOqdVL St,Egypt
e6abd507-ff01-46e6-9b98-242bcdf5b0a2,jHKEu,430-339-8477,rPngvPqD@gmail.com,330 XDdLYGAxji St,Tunisia
9606747c-f428-4060-90ce-d1f1d97140e9,FuqKy,584-434-1066,GATCgvDgGhp@yahoo.com,243 WQgDqSvHdmvGB St,Morocco
f5649c26-7791-4097-83a3-2604d84b32a5,bqVJLOkf,973-259-5990,rOXWKyGlCIA@gmail.com,655 UTGWyWlqlLEKj St,Belgium
7245007b-7ec8-4e61-ae78-0b5cfbd56727,iXySDD,970-686-1465,ygEgvghpBKP@outlook.com,468 nMfsczpNVzsc Ave,United Kingdom
1958a937-fe15-4dd6-8c85-0a216602750e,MMyvr,867-229-5816,SMuKbKhiuRL@yahoo.com,621 JAKPlzpMgOLrPn St,Germany
432dc6c0-c07c-4695-9e97-30e8274ed62a,xJIsbWX,569-830-4645,rELgQNUVAyB@gmail.com,750 uhDFtjmphkbr Ave,Vietnam
d09061e2-48ed-47ec-92cc-a9331a3b64de,TsqPgkmhg,936-584-4047,QbCESdTlg@outlook.com,511 vEOOVEhQyGrD Ave,Italy
